index,record_id,题目,选项,答案,难度,图片来源,数据类型,图片结构描述,图片类型,local_images
38,recvnmunMOE1YW,图片中绿色的面是几何体的什么面？,"A.侧面
B.底面
C.截面
D.对角面",B,L1,网络,SE2 X GQ3,五棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0038_recvnmunMOE1YW_1_image.png
39,recvnmunMOWDH8,图片中橙色的面是这个几何体的哪个面？,"A.侧面
B.底面
C.截面
D.对角面",C,L1,网络,SE2 X GQ3,三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0039_recvnmunMOWDH8_1_image.png
40,recvnmunMO8gXi,蓝色面实际上是什么形状？,"A. 直角三角形
B. 钝角三角形
C. 等边三角形
D. 等腰锐角三角形",C,L2,网络,SE2 X GQ3,正四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0040_recvnmunMO8gXi_1_image.png
41,recvnmunMOlT5A,几何体中蓝色截面实际是什么形状？,"A.正五边形
B.正六边形
C.六边形（非正）
D.五边形（非正）",B,L3,网络,SE2 X GQ3,正方体内接四面体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0041_recvnmunMOlT5A_1_image.png
42,recvnmunMOpOkY,这个立体几何中的蓝色部分实际上是什么形状？,"A. 正方形
B. 平行四边形
C. 长方形
D. 菱形",C,L3,网络,SE2 X GQ3,正方体截面,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0042_recvnmunMOpOkY_1_image.png
43,recvnmunMO7kf8,黄色的面是几何体的什么面？,"A.底面
B.侧面
C.截面
D.对角面",A,L2,网络,SE2 X GQ3,三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0043_recvnmunMO7kf8_1_image.png
44,recvnmunMOXRBH,将图中几何图形的面JBCN定为正面，数一数与该正面有公共棱的相邻面共有多少个？,A.4 B.5 C.6 D.3,A,L2,网络,SE2XGQ1,平行六面体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0044_recvnmunMOXRBH_1_image.png
45,recvnmunMOUqu4,观察图中所有的立体图形，数一数共有多少个平面（其中不同立方体的底面需单独计算）？,A.2 B.4 C.5 D.3,D,L2,网络,SE2XGQ1,圆锥体、圆柱体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0045_recvnmunMOUqu4_1_image.png
46,recvnmunMOnuhR,从图示视角观察，该立体图形的可见面共有多少个？,A.3 B.4 C.6 D.5,B,L3,网络,SE2XGQ1,截角体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0046_recvnmunMOnuhR_1_image.png
47,recvnmunMOdvir,图中的线段PQ是哪种类型的线段？,"A. 侧棱  
B. 斜高  
C. 底面对角线  
D. 高",D,L2,网络,SE1 X GQ3,四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0047_recvnmunMOdvir_1_image.png
48,recvnmunMOBFFK,图中蓝色虚线段属于这个立体图形哪一类型的线段？,"A. 侧棱
B. 体对角线
C. 面对角线
D. 高",B,L3,网络,SE1 X GQ3,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0048_recvnmunMOBFFK_1_image.png
49,recvnmunMOTrnG,图中的线段PF是哪种类型的线段？,"A. 侧棱  
B. 斜高  
C. 底面对角线  
D. 高",A,L1,网络,SE1 X GQ3,六棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0049_recvnmunMOTrnG_1_image.png
50,recvnmunMOpeWs,在如图所示的立体图形中，紫色线段JN属于哪一类线段？,"A. 侧棱
B. 底面的边
C. 斜高
D. 高",C,L2,网络,SE1 X GQ3,四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0050_recvnmunMOpeWs_1_image.png
51,recvnmunMOhOOg,如图所示的立体图形中，线段AB是什么类型的线段？,"A. 底面的边 
B. 侧棱  
C. 底面对角线  
D. 高",A,L1,网络,SE1 X GQ3,斜三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0051_recvnmunMOhOOg_1_image.png
52,recvnmunMOM6bt,图中哪个字母标记点所在位置是最高的？,"A.点S
B.点D
C.点N
D.点S与点D都是最高的",A,L1,网络,SE0 X GQ5,三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0052_recvnmunMOM6bt_1_image.png
53,recvnmunMOllIU,图中哪个字母标记点位置最低？,"A.点A
B.点G
C.点E
D.点F",D,L1,网络,SE0 X GQ5,三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0053_recvnmunMOllIU_1_image.png
54,recvnmunMOpuSV,以下哪个点距离点M最远？,"A.点N
B.点T
C.点W
D.点N、T、W到点M的距离一样远",B,L3,网络,SE0 X GQ5,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0054_recvnmunMOpuSV_1_image.png
55,recvnmunMOmVYk,关于图中字母标记点的位置，哪项说法正确？,"A.只有点T位置最高
B.只有点B位置最低
C.点T、S、C高度相同且均为最高
D.点E、B高度相同且均为最低",D,L2,网络,SE0 X GQ5,五棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0055_recvnmunMOmVYk_1_image.png
56,recvnmunMO4IUl,在点H、点F、点K、点D四个点中，哪个点位置最高？,"A.点H
B.点D
C.点K
D.点F",A,L1,网络,SE0 X GQ5,三棱锥嵌套球体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0056_recvnmunMO4IUl_1_image.png
57,recvnmunMOrn2M,点N、点Q和点C三个点中，哪个点在图中位置最低？,"A.点N
B.点Q
C.点C
D.点N、点Q和点C的高度相同",D,L2,网络,SE0 X GQ5,四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0057_recvnmunMOrn2M_1_image.png
58,recvnmunMOSZ32,图中哪个字母标记点位置最高？,"A.点Q
B.点P
C.点S
D.点N",A,L1,网络,SE0 X GQ5,堆叠小立方体,堆叠,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0058_recvnmunMOSZ32_1_image.png
59,recvnmunMOLgSH,请比较点P、点N、点S三点到点A间的距离，选出正确的一项。,"A.点P到点A的距离最远
B.点N到点A的距离最远
C.点P、点N、点S三点到点A的距离都相同
D.点S到点A的距离最远",C,L3,网络,SE0 X GQ5,四棱锥和线条交叉,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0059_recvnmunMOLgSH_1_image.png
60,recvnmunMOqA0S,比较点S到点C、点P到点C和点N到点M间的距离，选出正确的一项。,"A.点S到点C的距离比点N到点M的距离更近
B.点S到点C的距离比点N到点M的距离更远
C.点P到点C的距离比点S到点C的距离更远
D.点P到点C的距离与点N到点M的距离相等",B,L3,网络,SE0 X GQ5,二十面体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0060_recvnmunMOqA0S_1_image.png
61,recvnmunMOFOan,关于图中各点位置高低的说法，哪项正确？,"A.只有点C位置最高
B.只有点P位置最高
C.点P与点Q高度相同且均为最高
D.点P位置最低",B,L1,网络,SE0 X GQ5,八棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0061_recvnmunMOFOan_1_image.png
62,recvnmunMOnXFd,图中所有小立方体大小一致，忽略图中小立方体之间的空隙，红线、蓝线、黄线之中，哪条是最短的？,"A. 红线
B. 蓝线
C. 黄线
D. 长度都一样",B,L1,网络,SE1 X GQ5,立方体堆叠,堆叠,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0062_recvnmunMOnXFd_1_image.png
63,recvnmunMOG4tL,图中的四棱台由底面为正方形的四棱锥截取后形成，在该四棱台中，绿色线段与线段AD的位置关系是？,"A. 平行
B. 相交且垂直
C. 异面
D. 相交但不垂直",A,L2,网络,SE1 X GQ6,四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0063_recvnmunMOG4tL_1_image.png
64,recvnmunMOR8QZ,图中线段EF和平面ABCD的位置关系是？,"A. 线段EF平行于平面ABCD
B. 线段EF相交于平面ABCD但不垂直
C. 线段EF相交且垂直于平面ABCD
D. 线段EF在平面ABCD内",C,L3,网络,SE1 X GQ6,正八面体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0064_recvnmunMOR8QZ_1_image.png
65,recvnmunMOWU2y,在如图所示的立体图形中，线段AT与直线MB的位置关系是什么？,"A. 相交且垂直
B. 相交但不垂直
C. 异面
D. 平行",C,L3,网络,SE1 X GQ6,四棱柱的截角体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0065_recvnmunMOWU2y_1_image.png
66,recvnmunMObNZj,图中蓝色线段和线段PL之间的位置关系是？,"A. 平行
B. 异面
C. 相交且垂直
D. 相交但不垂直",D,L1,网络,SE1 X GQ6,四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0066_recvnmunMObNZj_1_image.png
67,recvnmunMOvogu,在图上由三棱柱和圆柱嵌套形成的立体图形中，线段MP和线段SQ的位置关系是？,"A. 相交
B. 异面
C. 平行
D. 无法判断",C,L1,网络,SE1 X GQ6,圆柱内含于三棱柱,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0067_recvnmunMOvogu_1_image.png
68,recvnmunMOMvHv,图上由多个长方体堆叠而成的立体图形中，线段PT和线段DN的位置关系是？,"A. 异面
B. 平行
C. 相交且垂直
D. 相交但不垂直",A,L2,网络,SE1 X GQ6,长方体堆叠,堆叠,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0068_recvnmunMOMvHv_1_image.png
69,recvnmunMOwiPB,哪种颜色的面是顶面？,"A. 蓝色
B. 红色
C. 绿色
D. 白色",A,L1,网络,SE2 X GQ2,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0069_recvnmunMOwiPB_1_image.png
70,recvnmunMOCIs8,以下选项中的哪条线段是图中这个棱柱的侧棱？,"A. FG
B. FK
C. FH
D. FE",D,L1,网络,SE1 X GQ2,直四棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0070_recvnmunMOCIs8_1_image.png
71,recvnmunMOxIUc,以下哪个选项中的线段表示这个棱台的高？,"A. HB
B. KZ
C. ZB
D. KH",A,L2,网络,SE1 X GQ2,四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0071_recvnmunMOxIUc_1_image.png
72,recvnmunMOViYD,图中哪条线段是这个棱锥的侧棱？,"A. MN
B. MZ
C. MQ
D. MX",C,L1,网络,SE1 X GQ2,五棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0072_recvnmunMOViYD_1_image.png
73,recvnmunMOkg8M,这个三棱柱的红色线段长多少？,A.4 B.6 C.8 D.2√13,B,L1,网络,SE1 X GQ4,三棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0073_recvnmunMOkg8M_1_20260622-175923.png
74,recvnmunMObfcl,这条红色线段属于图中立体图形的哪种类型的线段？,"A. 高
B. 底面的边
C. 面对角线
D. 侧棱",D,L1,网络,SE1 X GQ3,四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0074_recvnmunMObfcl_1_image.png
75,recvnmunMOh5l4,图中的线段MN是哪种类型的线段？,"A. 上底面半径
B. 下底面直径
C. 高线
D. 母线",C,L2,网络,SE1 X GQ3,圆台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0075_recvnmunMOh5l4_1_image.png
76,recvnmunMOuSds,在图中用字母标记的点中，哪个点的位置最高？,"A. T
B. M
C. B
D. Q",D,L1,网络,SE0 X GQ2,斜六棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0076_recvnmunMOuSds_1_image.png
77,recvnmunMOMZ6z,如图所示，在所有标有字母的点中，哪个点是最右边的？,"A. D
B. C
C. B
D. A",C,L2,网络,SE0 X GQ2,球体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0077_recvnmunMOMZ6z_1_image.png
78,recvnmunMOYLeR,该图展示了一个由长方体和三棱锥组成的组合体。点B₁的坐标是什么？,"A. (3,4,0)
B. (3,0,4)
C. (3,4,4)
D. (3,0,0）",C,L3,网络,SE0 X GQ2,三棱锥与长方体组合,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0078_recvnmunMOYLeR_1_image.png
